long_lat,country
"(-112, 49)",MBD
"(53, 53)",MBD
"(57, 50)",MBD
"(114, 5)",MBD
"(-43, -3)",MBD
"(43, 3)",MBD
"(116, -3)",MBD
"(33, 41)",MBD
"(-55, 49)",MBD
"(90, 42)",MBD
"(110, 41)",MBD
"(80, 12)",MBD
"(-79, 8)",MBD
"(9, 0)",MBD
"(86, 22)",MBD
"(-103, 39)",MBD
"(-154, 66)",MBD
"(66, 66)",MBD
"(-97, 25)",MBD
"(-176, -13)",MBD
"(-52, -23)",MBD
"(52, 17)",MBD
"(109, 32)",MBD
"(113, 37)",MBD
"(99, 22)",MBD
"(-117, 37)",MBD
"(-70, 8)",MBD
"(-84, 43)",MBD
"(4, 35)",MBD
"(-80, 46)",MBD
"(8, 38)",MBD
"(23, -19)",MBD
"(-3, 48)",MBD
"(85, 56)",MBD
"(179, 63)",MBD
"(41, 34)",MBD
"(-27, 39)",MBD
"(118, 48)",MBD
"(17, 57)",MBD
"(-108, 51)",MBD
"(-145, -14)",MBD
"(37, 54)",MBD
"(94, 57)",MBD
"(131, 49)",MBD
"(98, 36)",MBD
"(13, 13)",MBD
"(74, 13)",MBD
"(-74, -15)",MBD
"(136, -34)",MBD
"(-99, 44)",MBD
"(-95, 41)",MBD
"(-50, -18)",MBD
"(50, 18)",MBD
"(127, 0)",MBD
"(-56, -28)",MBD
"(119, -2)",MBD
"(119, -1)",MBD
"(117, 26)",MBD
"(46, 30)",MBD
"(103, 27)",MBD
"(-113, 30)",MBD
"(16, 29)",MBD
"(83, 23)",MBD
"(-5, 31)",MBD
"(12, 41)",MBD
"(-76, 17)",MBD
"(19, -34)",MBD
"(69, 40)",MBD
"(143, -20)",MBD
"(29, -24)",MBD
"(-59, -16)",MBD
"(137, -30)",MBD
"(120, 16)",MBD
"(45, 47)",MBD
"(49, 52)",MBD
"(106, 47)",MBD
"(126, 42)",MBD
"(-120, 38)",MBD
"(-63, 11)",MBD
"(82, 52)",MBD
"(45, 64)",MBD
"(102, 51)",MBD
"(-87, 34)",MBD
"(21, 55)",MBD
"(78, 56)",MBD
"(7, 4)",MBD
"(11, 65)",MBD
"(-111, 57)",MBD
"(54, 33)",MBD
"(-44, -9)",MBD
"(44, 15)",MBD
"(105, 15)",MBD
"(-148, 64)",MBD
"(111, 33)",MBD
"(81, 22)",MBD
"(-78, 18)",MBD
"(87, 24)",MBD
"(0, 28)",MBD
"(-11, 26)",MBD
"(77, 34)",MBD
"(-82, 30)",MBD
"(25, -27)",MBD
"(-63, -19)",MBD
"(-112, 29)",MBD
"(33, 68)",MBD
"(-53, -9)",MBD
"(106, -5)",MBD
"(114, 41)",MBD
"(100, 20)",MBD
"(29, 48)",MBD
"(33, 53)",MBD
"(147, 61)",MBD
"(-83, 47)",MBD
"(9, 60)",MBD
"(66, 55)",MBD
"(-1, 42)",MBD
"(-2, 42)",MBD
"(86, 50)",MBD
"(103, -3)",MBD
"(42, 60)",MBD
"(62, 59)",MBD
"(-146, -14)",MBD
"(-107, 55)",MBD
"(-38, -4)",MBD
"(38, 0)",MBD
"(14, 41)",MBD
"(-70, 44)",MBD
"(75, 13)",MBD
"(-75, -13)",MBD
"(4, 7)",MBD
"(-84, 15)",MBD
"(-65, -23)",MBD
"(-23, 15)",MBD
"(23, -15)",MBD
"(51, 36)",MBD
"(17, -33)",MBD
"(112, 22)",MBD
"(41, 30)",MBD
"(118, -26)",MBD
"(118, 28)",MBD
"(-47, -18)",MBD
"(47, 16)",MBD
"(94, 21)",MBD
"(131, 45)",MBD
"(13, 49)",MBD
"(-75, 9)",MBD
"(-70, -34)",MBD
"(70, 34)",MBD
"(74, 33)",MBD
"(28, -20)",MBD
"(-60, -12)",MBD
"(-99, 48)",MBD
"(121, 10)",MBD
"(50, 54)",MBD
"(146, -20)",MBD
"(107, 43)",MBD
"(127, 36)",MBD
"(-123, 39)",MBD
"(26, 63)",MBD
"(46, 58)",MBD
"(2, 36)",MBD
"(79, 54)",MBD
"(83, 51)",MBD
"(-69, -14)",MBD
"(-143, 62)",MBD
"(59, 42)",MBD
"(116, 41)",MBD
"(-45, -19)",MBD
"(45, 19)",MBD
"(120, 44)",MBD
"(-114, 41)",MBD
"(106, 3)",MBD
"(-35, -5)",MBD
"(96, 21)",MBD
"(25, 31)",MBD
"(82, 24)",MBD
"(-77, 36)",MBD
"(139, 35)",MBD
"(72, 30)",MBD
"(-87, 30)",MBD
"(1, 6)",MBD
"(78, 20)",MBD
"(-10, 28)",MBD
"(148, -19)",MBD
"(-111, 37)",MBD
"(125, 7)",MBD
"(-91, 42)",MBD
"(-162, 64)",MBD
"(-54, -15)",MBD
"(-115, 49)",MBD
"(34, 57)",MBD
"(128, 62)",MBD
"(-68, 12)",MBD
"(6, 51)",MBD
"(10, 62)",MBD
"(-67, -35)",MBD
"(43, 58)",MBD
"(63, 55)",MBD
"(124, 39)",MBD
"(-106, 35)",MBD
"(-39, -16)",MBD
"(100, 8)",MBD
"(-73, 41)",MBD
"(76, 17)",MBD
"(66, 27)",MBD
"(-66, -25)",MBD
"(16, -27)",MBD
"(56, 29)",MBD
"(113, 28)",MBD
"(-103, 31)",MBD
"(42, 16)",MBD
