quadkey,tile,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,year,quarter
1202021311122123,"POLYGON((5.4766845703125 51.5258338471226, 5.482177734375 51.5258338471226, 5.482177734375 51.5224160825325, 5.4766845703125 51.5224160825325, 5.4766845703125 51.5258338471226))",25488,1778,58,6,3,2020,2
0323002123001001,"POLYGON((-65.6927490234375 18.3128108464254, -65.687255859375 18.3128108464254, -65.687255859375 18.3075958037538, -65.6927490234375 18.3075958037538, -65.6927490234375 18.3128108464254))",28948,3614,64,2,2,2020,4
3100131230110332,"POLYGON((110.687255859375 -7.74909438108266, 110.692749023438 -7.74909438108266, 110.692749023438 -7.75453734653938, 110.687255859375 -7.75453734653938, 110.687255859375 -7.74909438108266))",9007,13270,42,4,3,2020,3
1201020220311022,"POLYGON((22.8076171875 63.1469122928484, 22.8131103515625 63.1469122928484, 22.8131103515625 63.1444309004757, 22.8076171875 63.1444309004757, 22.8076171875 63.1469122928484))",32513,17032,28,1,1,2020,2
1210220312002102,"POLYGON((47.13134765625 57.8652099973606, 47.1368408203125 57.8652099973606, 47.1368408203125 57.8622879941766, 47.13134765625 57.8622879941766, 47.13134765625 57.8652099973606))",5852,2330,35,2,1,2020,2
1202012123122022,"POLYGON((7.55859375 53.4520781126982, 7.5640869140625 53.4520781126982, 7.5640869140625 53.4488068354276, 7.55859375 53.4488068354276, 7.55859375 53.4520781126982))",23045,10444,33,2,1,2020,4
1203303222230022,"POLYGON((36.650390625 45.1394300814679, 36.6558837890625 45.1394300814679, 36.6558837890625 45.1355551601254, 36.650390625 45.1355551601254, 36.650390625 45.1394300814679))",29750,5228,43,2,2,2020,2
1202221333133233,"POLYGON((5.5975341796875 43.2011716812724, 5.60302734375 43.2011716812724, 5.60302734375 43.1971672825013, 5.5975341796875 43.1971672825013, 5.5975341796875 43.2011716812724))",7800,991,41,3,3,2020,1
0302303220101330,"POLYGON((-75.684814453125 45.5602179571505, -75.6793212890625 45.5602179571505, -75.6793212890625 45.5563717358831, -75.684814453125 45.5563717358831, -75.684814453125 45.5602179571505))",60253,8215,19,3,2,2020,4
1202312030322330,"POLYGON((17.786865234375 46.3241716172569, 17.7923583984375 46.3241716172569, 17.7923583984375 46.3203780310624, 17.786865234375 46.3203780310624, 17.786865234375 46.3241716172569))",83819,22131,25,3,2,2020,2
1202303222223230,"POLYGON((14.117431640625 45.0967914639474, 14.1229248046875 45.0967914639474, 14.1229248046875 45.0929136460511, 14.117431640625 45.0929136460511, 14.117431640625 45.0967914639474))",39167,12758,25,13,9,2020,1
0323002031202003,"POLYGON((-66.4398193359375 18.4327133917009, -66.434326171875 18.4327133917009, -66.434326171875 18.4275019719486, -66.4398193359375 18.4275019719486, -66.4398193359375 18.4327133917009))",66028,35129,19,7,1,2020,1
1201333021201030,"POLYGON((42.593994140625 56.8429636484013, 42.5994873046875 56.8429636484013, 42.5994873046875 56.839959120758, 42.593994140625 56.839959120758, 42.593994140625 56.8429636484013))",6225,434,49,4,1,2020,1
0302323110223000,"POLYGON((-73.7841796875 42.8437513262902, -73.7786865234375 42.8437513262902, -73.7786865234375 42.8397235476408, -73.7841796875 42.8397235476408, -73.7841796875 42.8437513262902))",127316,5191,35,1,1,2020,1
2103213030011113,"POLYGON((-58.1890869140625 -34.8904368176245, -58.18359375 -34.8904368176245, -58.18359375 -34.8949424473973, -58.1890869140625 -34.8949424473973, -58.1890869140625 -34.8904368176245))",3492,3253,34,1,1,2020,3
1322031323333122,"POLYGON((100.52490234375 13.9500611863904, 100.530395507812 13.9500611863904, 100.530395507812 13.9447299749202, 100.52490234375 13.9447299749202, 100.52490234375 13.9500611863904))",23863,21000,20,18,8,2020,1
1202302130303013,"POLYGON((13.5955810546875 46.4037761666946, 13.60107421875 46.4037761666946, 13.60107421875 46.3999881040794, 13.5955810546875 46.3999881040794, 13.5955810546875 46.4037761666946))",83534,10946,17,4,1,2020,4
